Time,BestBid,BestAsk,Spread,Depth
2025-11-12 22:18:46.120494900,99.14,99.34,0.2,475
2025-11-12 22:18:46.122585500,98.81,99.77,0.96,558
2025-11-12 22:18:46.124832100,98.92,99.73,0.81,446
2025-11-12 22:18:46.126865800,99.29,99.68,0.39,435
2025-11-12 22:18:46.130823200,98.38,100.26,1.88,298
2025-11-12 22:18:46.133072400,100.38,100.59,0.21,261
2025-11-12 22:18:46.134956500,100.46,100.79,0.33,498
2025-11-12 22:18:46.136626900,100.03,100.33,0.3,521
2025-11-12 22:18:46.138023700,99.9,100,0.1,451
2025-11-12 22:18:46.138043100,99.9,100,0.1,451
