Time,BestBid,BestAsk,Spread,Depth,Fundamental,Volatility,Slippage
2025-12-18 16:28:46.898499000,122.711,123.711,1,0,123.211,0,1.51958
2025-12-18 16:28:46.909903800,122.94,123.06,0.12,611,123.237,0.105598,0.678178
2025-12-18 16:28:46.921415200,122.763,123.763,1,0,123.263,0.113773,0.538902
2025-12-18 16:28:46.932888800,123.32,123.44,0.12,999,123.289,0.137629,0.243263
2025-12-18 16:28:46.942664600,123.4,123.44,0.04,749,123.315,0.148229,0.214215
2025-12-18 16:28:46.954442300,123.08,123.32,0.24,1095,123.341,0.136849,0.251042
2025-12-18 16:28:46.964929200,123.55,123.56,0.01,1219,123.367,0.166631,0.185399
2025-12-18 16:28:46.974234700,123.17,123.42,0.25,792,123.393,0.155878,0.288645
2025-12-18 16:28:46.983726500,123.53,123.59,0.06,702,123.419,0.169616,0.186492
2025-12-18 16:28:46.994838200,123.34,123.57,0.23,547,123.445,0.165896,0.288215
2025-12-18 16:28:47.004870500,122.971,123.971,1,0,123.471,0.162979,0.939561
2025-12-18 16:28:47.012511100,122.996,123.996,1,0,123.496,0.161464,0.556984
2025-12-18 16:28:47.020822900,123.022,124.022,1,0,123.522,0.161136,0.478848
2025-12-18 16:28:47.029349000,123.048,124.048,1,0,123.548,0.161822,0.398798
2025-12-18 16:28:47.037179600,123.074,124.074,1,0,123.574,0.163376,0.651913
2025-12-18 16:28:47.047358500,123.1,124.1,1,0,123.6,0.165678,0.856427
2025-12-18 16:28:47.057406900,123.126,124.126,1,0,123.626,0.168624,0.357681
2025-12-18 16:28:47.066154600,123.152,124.152,1,0,123.652,0.172125,0.66797
2025-12-18 16:28:47.074601600,123.178,124.178,1,0,123.678,0.176105,0.439661
2025-12-18 16:28:47.082292600,123.204,124.204,1,0,123.704,0.180499,0.87539
2025-12-18 16:28:47.089980700,123.23,124.23,1,0,123.73,0.185251,1.13548
2025-12-18 16:28:47.098039900,123.256,124.256,1,0,123.756,0.190312,0.598291
2025-12-18 16:28:47.106499500,123.282,124.282,1,0,123.782,0.195642,1.0535
2025-12-18 16:28:47.118360000,123.308,124.308,1,0,123.808,0.201207,0.699767
2025-12-18 16:28:47.127046200,123.334,124.334,1,0,123.834,0.206974,0.989363
2025-12-18 16:28:47.135672700,123.36,124.36,1,0,123.86,0.21292,0.34923
2025-12-18 16:28:47.145577600,123.386,124.386,1,0,123.886,0.219022,0.77149
2025-12-18 16:28:47.154311900,123.411,124.411,1,0,123.911,0.22526,0.965397
2025-12-18 16:28:47.168003000,123.437,124.437,1,0,123.937,0.231618,1.49694
2025-12-18 16:28:47.177075000,123.463,124.463,1,0,123.963,0.238083,0.456394
2025-12-18 16:28:47.184510600,123.489,124.489,1,0,123.989,0.244642,0.591521
2025-12-18 16:28:47.192946600,123.515,124.515,1,0,124.015,0.251284,0.581183
2025-12-18 16:28:47.201637400,123.541,124.541,1,0,124.041,0.258001,0.476246
2025-12-18 16:28:47.210282000,123.567,124.567,1,0,124.067,0.264783,0.589442
2025-12-18 16:28:47.218025000,123.593,124.593,1,0,124.093,0.271624,0.672038
2025-12-18 16:28:47.225263900,123.619,124.619,1,0,124.119,0.278519,0.780149
2025-12-18 16:28:47.232595400,123.645,124.645,1,0,124.145,0.285461,0.482947
2025-12-18 16:28:47.239923600,123.671,124.671,1,0,124.171,0.292446,0.845996
2025-12-18 16:28:47.247691300,123.697,124.697,1,0,124.197,0.299469,0.978589
2025-12-18 16:28:47.254996400,123.723,124.723,1,0,124.223,0.306527,0.630048
2025-12-18 16:28:47.263753900,123.749,124.749,1,0,124.249,0.313617,0.30508
2025-12-18 16:28:47.273030000,123.775,124.775,1,0,124.275,0.320736,0.610262
2025-12-18 16:28:47.280610700,123.8,124.8,1,0,124.3,0.32788,0.739563
2025-12-18 16:28:47.288730000,123.826,124.826,1,0,124.326,0.335049,1.11084
2025-12-18 16:28:47.298027500,123.852,124.852,1,0,124.352,0.342239,0.482879
2025-12-18 16:28:47.306904600,123.878,124.878,1,0,124.378,0.349449,0.764221
2025-12-18 16:28:47.315601000,123.904,124.904,1,0,124.404,0.356677,0.985158
2025-12-18 16:28:47.323312100,123.93,124.93,1,0,124.43,0.363922,0.499734
2025-12-18 16:28:47.330805600,123.956,124.956,1,0,124.456,0.371183,0.508867
2025-12-18 16:28:47.338687800,123.982,124.982,1,0,124.482,0.378457,1.61348
2025-12-18 16:28:47.346486800,123.982,124.982,1,0,124.482,0.377522,0.709307
2025-12-18 16:28:47.354210700,123.955,124.955,1,0,124.455,0.36496,0.728172
2025-12-18 16:28:47.363178800,124.63,124.78,0.15,255,124.428,0.370238,0.440491
2025-12-18 16:28:47.370804000,123.901,124.901,1,0,124.401,0.367426,0.243356
2025-12-18 16:28:47.381289700,123.874,124.874,1,0,124.374,0.364086,0.44089
2025-12-18 16:28:47.389676200,123.847,124.847,1,0,124.347,0.3507,0.469853
2025-12-18 16:28:47.397155500,123.82,124.82,1,0,124.32,0.347913,0.541075
2025-12-18 16:28:47.405578800,123.793,124.793,1,0,124.293,0.334767,0.352058
2025-12-18 16:28:47.413233100,123.767,124.767,1,0,124.267,0.329547,0.677514
2025-12-18 16:28:47.420618800,123.74,124.74,1,0,124.24,0.319705,0.292153
